Change Control,Source_System,Source_Entity,Source_Attribute,Source_Datatype,Join_Condition,Filter_Condition,Default_Value,Reference_Entity,Reference_Attribute,Mapping_Required_Flag,Transformation_Type,Transformation_Logic,Owner,Notes,Target_Domain,Target_Schema,Target_Entity,Target_Attribute,Target_Datatype,Technical_Description,Business_Description,Is_Nullable,Is_Primary_Key,Is_Business_Key,Is_Business_Data,Sensitivity,Scd_Type
,,EMBOSSER_RECORD,"AMED_ADD_STATUS,
AMED_STATUS",,,,,,,,,"CASE
        WHEN CAST(AMED_ADD_STATUS AS VARCHAR) = '99' AND AMED_STATUS = '0' THEN 'Y'
        ELSE 'N'
    END                                                    AS IS_ACTIVE_IN_SOURCE_FLAG",,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,IS_ACTIVE_IN_SOURCE_FLAG,VARCHAR (1),,,TRUE,FALSE,,,pii_category: NONE,1
,V10,,,,,,NULL,,,,,,,Not available in V10,PAY,CORE,CARD_PAYMENT_INSTRUMENT,MESSAGE_TRACE_ID,VARCHAR (16777216),,,TRUE,FALSE,,,pii_category: NONE,1
,V10,"
EMBOSSER_RECORD",,,,,,,,,,,,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,CARD_ACCOUNT_BUSINESS_KEY,VARCHAR (64),An encrypted (hash) value of the business key data. This  will be the same value for all data with a common business key. This is called SCD7 by Kimball. Examples: hash(Customer Id); hash(Country Code). This is used to simplify look back and get current processing.,An encrypted (hash) value of the business key data. This  will be the same value for all data with a common business key. This is called SCD7 by Kimball. Examples: hash(Customer Id); hash(Country Code). This is used to simplify look back and get current processing.,FALSE,FALSE,,,pii_category: NONE,1
,V10,"
EMBOSSER_RECORD",,,,,,,,,,,,,PAY,CORE,CARD_PAYMENT_INSTRUMENT,CARD_CUSTOMER_BUSINESS_KEY,VARCHAR (64),An encrypted (hash) value of the business key data. This  will be the same value for all data with a common business key. This is called SCD7 by Kimball. Examples: hash(Customer Id); hash(Country Code). This is used to simplify look back and get current processing.,An encrypted (hash) value of the business key data. This  will be the same value for all data with a common business key. This is called SCD7 by Kimball. Examples: hash(Customer Id); hash(Country Code). This is used to simplify look back and get current processing.,FALSE,FALSE,,,pii_category: NONE,1
,V10,,,,,,,,,,,,,20260307 Generated by DBT,PAY,CORE,CARD_PAYMENT_INSTRUMENT,IS_CURRENT_FLAG,VARCHAR (1),A flag that indicates this is the current version of the record. Y - Yes; N - No.,A flag that indicates this is the current version of the record. Y - Yes; N - No.,FALSE,FALSE,,,pii_category: NONE,1
,V10,,,,,,N,,,,,,,20260307 Delete not implemented,PAY,CORE,CARD_PAYMENT_INSTRUMENT,IS_DELETED_FLAG,VARCHAR (1),"A flag that indicates the record has been deleted in the source system. Y - Yes, the record has been deleted;  N - No, the record has not been deleted.","A flag that indicates the record has been deleted in the source system. Y - Yes, the record has been deleted;  N - No, the record has not been deleted.",FALSE,FALSE,,,pii_category: NONE,1
,V10,EMBOSSER_RECORD,AMED_CARD_ACTIVATED_DATE,,,,1900-01-01 00:00:00.000000,,,,,"COALESCE(AMED_CARD_ACTIVATED_DATE::TIMESTAMP_NTZ, '1900-01-01'::TIMESTAMP_NTZ)
                                                           AS VALID_FROM_DATETIME,",,20260307 RW from source effective from. Use default if NULL,PAY,CORE,CARD_PAYMENT_INSTRUMENT,VALID_FROM_DATETIME,TIMESTAMP WITH LOCAL TIME ZONE,The date and time on which this record became active.,The date and time on which this record became active.,FALSE,FALSE,,,pii_category: NONE,1
,V10,EMBOSSER_RECORD,AMED_DATE_EXPIRE,,,,9999-12-31 23:59:59.999999,,,,,"COALESCE(AMED_DATE_EXPIRE::TIMESTAMP_NTZ, '9999-12-31 23:59:59.999999'::TIMESTAMP_NTZ)
                                                           AS VALID_TO_DATETIME",,20260307 RW From source effective to. Use default if null,PAY,CORE,CARD_PAYMENT_INSTRUMENT,VALID_TO_DATETIME,TIMESTAMP WITH LOCAL TIME ZONE,The date and time on which this record stopped being active.,The date and time on which this record stopped being active.,FALSE,FALSE,,,pii_category: NONE,1
,V10,,,,,,,,,,,,,20260307 Generated by DBT,PAY,CORE,CARD_PAYMENT_INSTRUMENT,BUSINESS_DATA_HASH,VARCHAR (64),An encrypted (hash) of the business data fields for SCD2 processing.,An encrypted (hash) of the business data fields for SCD2 processing.,FALSE,FALSE,,,pii_category: NONE,1
20260826 RW: Added,V10,,,,,,,,,,,,,20260307 Generated by DBT,PAY,CORE,CARD_PAYMENT_INSTRUMENT,AUDIT_CREATED_SOURCE,VARCHAR (16777216),"The source for creating the record. This can be an application, change id and so on.","The source for creating the record. This can be an application, change id and so on.",FALSE,FALSE,,,pii_category: NONE,1
20260826 RW: Added,V10,,,,,,,,,,,,,20260307 Generated by DBT,PAY,CORE,CARD_PAYMENT_INSTRUMENT,AUDIT_LAST_CHANGED_SOURCE,VARCHAR (16777216),"The source for updating the record. This can be an application, change id and so on. On creation, this will be the same as Audit Create Source.","The source for updating the record. This can be an application, change id and so on. On creation, this will be the same as Audit Create Source.",FALSE,FALSE,,,pii_category: NONE,1
,V10,,,,,,,,,,,,,20260307 Generated by DBT,PAY,CORE,CARD_PAYMENT_INSTRUMENT,AUDIT_CREATED_DATETIME,TIMESTAMP WITH LOCAL TIME ZONE,The date and time on which this record was created.,The date and time on which this record was created.,FALSE,FALSE,,,pii_category: NONE,1
,,,,,,,,,,,,,,20260826 Generated by DBT,PAY,CORE,CARD_PAYMENT_INSTRUMENT,AUDIT_LAST_CHANGED_DATETIME,TIMESTAMP WITH LOCAL TIME ZONE,The date and time on which this record was last changed. Last Changed Datetime = Created Datetime when the record is first created.,The date and time on which this record was last changed. Last Changed Datetime = Created Datetime when the record is first created.,FALSE,FALSE,,,pii_category: NONE,1
,,,,,,,,,,,,,,20260826 Generated by DBT,PAY,CORE,CARD_PAYMENT_INSTRUMENT,AUDIT_DATA_PROCESS_KEY,VARCHAR (64),The primary key of the process that created/changed the record.,The primary key of the process that created/changed the record.,FALSE,FALSE,,,pii_category: NONE,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
